name,desc,latitude,longitude,color,url
Alpenbirkenzeisige,Dienstag 15. November 2022,52.57843,10.612664,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73160212,504
Alpenbirkenzeisige,Dienstag 15. November 2022,50.077133333333336,8.88,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73155694,504
Alpenbirkenzeisige,Montag 14. November 2022,50.06931111111112,8.876666666666667,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73139844,504
Alpenbirkenzeisige,Sonntag 13. November 2022,51.40277777777778,9.656944444444445,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73101815,504
Alpenbirkenzeisige,Sonntag 13. November 2022,52.11333333333334,10.385,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73112292,504
Alpenbirkenzeisige,Sonntag 13. November 2022,53.11083333333333,8.123888888888889,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73179598,504
Alpenbirkenzeisig,Sonntag 13. November 2022,50.690394,8.481445,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73117097,504
Alpenbirkenzeisig,Sonntag 13. November 2022,50.22062,6.982848,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73109973,504
Alpenbirkenzeisig,Sonntag 13. November 2022,50.59297,8.101713,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73377004,504
Alpenbirkenzeisig,Samstag 12. November 2022,54.519444444444446,11.160277777777779,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73079555,504
Alpenbirkenzeisig,Samstag 12. November 2022,54.094166666666666,12.073333333333332,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73080421,504
Alpenbirkenzeisige,Samstag 12. November 2022,52.11246259277614,10.393517905477763,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73079102,504
Alpenbirkenzeisig,Samstag 12. November 2022,52.58277777777778,12.546388888888888,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73130987,504
Alpenbirkenzeisige,Samstag 12. November 2022,51.744519,9.046036,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73069547,504
Alpenbirkenzeisig,Samstag 12. November 2022,51.936372,8.684364,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73080948,504
Alpenbirkenzeisige,Samstag 12. November 2022,51.933224,8.692675,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73092144,504
Alpenbirkenzeisige,Samstag 12. November 2022,51.32,7.052222222222222,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73135676,504
Alpenbirkenzeisige,Samstag 12. November 2022,49.97638888888889,7.976388888888889,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73132183,504
Alpenbirkenzeisige,Samstag 12. November 2022,50.592865,8.101606,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73376914,504
Alpenbirkenzeisig,Samstag 12. November 2022,47.72805555555556,9.007222222222222,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73090602,504
